Label,Total_Energy_kWh,Holiday
2018/2/4-11,6.76,True
2018/2/4-12,0.6,True
2018/2/4-14,5.54,True
2018/2/4-15,6.52,True
2018/2/4-16,0.07,True
2018/2/5-8,0.56,False
2018/2/5-9,2.22,False
2018/2/5-10,2.22,False
2018/2/5-11,2.22,False
2018/2/5-12,4.2,False
2018/2/5-13,6.74,False
2018/2/5-14,4.19,False
2018/2/5-15,1.79,False
2018/1/12-8,0.46,False
2018/1/12-9,7.43,False
2018/1/12-10,6.48,False
2018/1/12-11,8.09,False
2018/1/12-12,11.65,False
2018/1/12-13,5.01,False
2018/1/12-14,9.67,False
2018/1/12-15,9.08,False
2018/1/13-6,3.95,False
2018/1/13-7,6.59,False
2018/1/13-8,1.52,False
2018/1/13-9,3.79,False
2018/1/13-10,6.5,False
2018/1/13-11,2.51,False
2018/1/13-12,2.19,False
2018/1/13-15,0.6,False
2018/1/13-16,2.98,False
2018/1/14-10,1.48,True
2018/1/14-11,0.55,True
2018/1/14-13,3.76,True
2018/1/14-14,4.14,True
2018/1/14-15,3.88,True
2018/1/15-9,2.09,False
2018/1/15-10,2.01,False
2018/1/16-6,0.3,False
2018/1/16-7,5.46,False
2018/1/16-8,7.449999999999999,False
2018/1/16-9,14.780000000000001,False
2018/1/16-10,11.240000000000002,False
2018/1/16-11,15.02,False
2018/1/16-12,10.25,False
2018/1/16-14,1.98,False
2018/1/16-15,3.84,False
2018/1/17-8,2.91,False
2018/1/17-9,9.25,False
2018/1/17-10,6.92,False
2018/1/17-11,1.21,False
2018/1/17-12,1.82,False
2018/1/17-13,2.43,False
2018/1/17-14,2.43,False
2018/1/17-15,3.43,False
2018/1/17-16,0.97,False
2018/1/17-17,4.26,False
2018/1/17-18,5.86,False
2018/1/17-19,3.36,False
2018/1/18-8,2.33,False
2018/1/18-9,5.81,False
2018/1/18-10,2.41,False
2018/1/18-11,4.2299999999999995,False
2018/1/18-12,1.37,False
2018/1/18-13,10.73,False
2018/1/18-14,7.2299999999999995,False
2018/1/18-15,3.48,False
2018/1/18-16,2.47,False
2018/1/18-19,3.55,False
2018/1/18-20,3.87,False
2018/1/18-21,3.87,False
2018/1/18-22,3.87,False
2018/1/18-23,0.28,False
2018/1/19-10,0.41,False
2018/1/19-11,7.96,False
2018/1/19-12,3.74,False
2018/1/19-13,1.49,False
2018/1/19-14,6.46,False
2018/1/19-16,3.66,False
2018/1/19-17,3.8099999999999996,False
2018/1/19-18,5.4,False
2018/1/19-19,1.98,False
2018/1/20-7,1.27,False
2018/1/20-8,2.45,False
2018/1/20-9,0.89,False
2018/1/20-11,1.82,False
2018/1/20-12,7.94,False
2018/1/20-13,3.71,False
2018/1/20-14,0.5700000000000001,False
2018/1/20-15,2.71,False
2018/1/20-20,1.8,False
2018/1/20-21,2.77,False
2018/1/20-22,2.77,False
2018/1/20-23,1.41,False
2018/1/21-14,4.1,True
2018/1/21-15,6.0,True
2018/1/21-16,1.24,True
2018/1/21-17,2.25,True
2018/1/21-18,4.09,True
2018/1/21-19,4.09,True
2018/1/21-20,4.09,True
2018/1/21-21,4.09,True
2018/1/21-22,1.39,True
2018/1/22-10,2.93,False
2018/1/22-11,4.5,False
2018/1/22-12,3.1300000000000003,False
2018/1/22-13,4.95,False
2018/1/22-14,6.449999999999999,False
2018/1/22-15,2.8899999999999997,False
2018/1/22-16,6.65,False
2018/1/22-17,2.85,False
2018/1/22-18,2.23,False
2018/1/23-8,3.34,False
2018/1/23-9,3.85,False
2018/1/23-10,3.85,False
2018/1/23-11,6.07,False
2018/1/23-12,5.01,False
2018/1/23-13,5.46,False
2018/1/23-14,4.8,False
2018/1/23-15,0.28,False
2018/1/23-17,8.3,False
2018/1/23-18,24.580000000000002,False
2018/1/23-19,8.95,False
2018/1/23-20,7.16,False
2018/1/23-21,3.56,False
2018/1/23-22,3.56,False
2018/1/23-23,3.56,False
2018/1/24-9,6.76,False
2018/1/24-10,13.25,False
2018/1/24-11,18.67,False
2018/1/24-12,22.04,False
2018/1/24-13,15.680000000000001,False
2018/1/24-14,15.820000000000002,False
2018/1/24-15,15.820000000000002,False
2018/1/24-16,14.08,False
2018/1/24-17,16.419999999999998,False
2018/1/24-18,9.55,False
2018/1/24-21,7.8100000000000005,False
2018/1/24-22,7.8100000000000005,False
2018/1/24-23,4.29,False
2018/1/25-9,1.02,False
2018/1/25-10,24.499999999999996,False
2018/1/25-11,4.08,False
2018/1/25-12,0.8,False
2018/1/25-13,1.03,False
2018/1/25-14,8.51,False
2018/1/25-15,1.38,False
2018/1/25-16,1.56,False
2018/1/25-17,4.68,False
2018/1/25-18,6.1899999999999995,False
2018/1/25-19,10.899999999999999,False
2018/2/5-17,3.46,False
2018/2/5-18,0.52,False
2018/2/5-21,3.87,False
2018/2/5-22,5.95,False
2018/2/5-23,5.95,False
2018/2/6-6,9.22,False
2018/2/6-7,7.95,False
2018/2/6-9,9.81,False
2018/2/6-10,12.219999999999999,False
2018/2/6-11,11.89,False
2018/2/6-12,13.059999999999999,False
2018/2/6-13,8.39,False
2018/2/6-14,13.149999999999999,False
2018/2/6-15,21.89,False
2018/2/6-16,14.649999999999999,False
2018/2/6-17,11.33,False
2018/2/7-9,5.9,False
2018/2/7-10,9.100000000000001,False
2018/2/7-11,6.75,False
2018/2/7-12,6.8500000000000005,False
2018/2/7-13,12.32,False
2018/2/7-14,17.61,False
2018/2/7-15,8.879999999999999,False
2018/2/7-16,8.02,False
2018/2/7-17,3.62,False
2018/2/7-18,6.08,False
2018/2/7-19,5.88,False
2018/2/8-6,3.21,False
2018/2/8-7,3.11,False
2018/2/8-8,2.25,False
2018/2/8-9,8.129999999999999,False
2018/2/8-10,4.970000000000001,False
2018/2/8-11,13.759999999999998,False
2018/2/8-12,3.33,False
2018/2/8-13,8.16,False
2018/2/8-14,14.29,False
2018/2/8-15,9.86,False
2018/2/8-16,13.89,False
2018/2/8-17,13.530000000000001,False
2018/2/8-18,6.07,False
2018/2/8-19,5.359999999999999,False
2018/2/8-20,3.9499999999999997,False
2018/2/8-21,3.36,False
2018/2/8-22,1.31,False
2018/2/9-7,0.08,False
2018/2/9-8,11.99,False
2018/2/9-9,13.42,False
2018/2/9-10,10.57,False
2018/2/9-11,5.550000000000001,False
2018/2/9-12,5.0,False
2018/2/9-13,2.3,False
2018/2/9-14,3.34,False
2018/2/9-15,4.5,False
2018/2/9-20,0.8,False
2018/2/15-10,8.399999999999999,False
2018/2/15-11,14.89,False
2018/2/15-12,11.71,False
2018/2/15-13,6.19,False
2018/2/15-14,0.29,False
2018/2/15-15,5.029999999999999,False
2018/2/15-16,15.530000000000001,False
2018/2/15-17,9.22,False
2018/2/15-18,5.949999999999999,False
2018/2/15-19,5.89,False
2018/2/15-20,0.43,False
2018/2/15-22,0.64,False
2018/2/15-23,4.28,False
2018/2/16-6,3.57,False
2018/2/16-7,2.79,False
2018/2/16-8,0.6,False
2018/2/16-9,8.17,False
2018/2/16-10,6.14,False
2018/2/16-11,7.08,False
2018/2/16-12,8.11,False
2018/2/16-13,8.540000000000001,False
2018/2/16-14,7.3100000000000005,False
2018/2/16-15,3.6100000000000003,False
2018/2/16-16,10.529999999999998,False
2018/2/16-17,15.750000000000002,False
2018/2/16-18,4.67,False
2018/2/16-19,1.14,False
2018/2/17-9,2.04,False
2018/2/17-10,10.629999999999999,False
2018/2/17-11,13.91,False
2018/2/17-12,7.940000000000001,False
