value,prediction
25.460001,8.220046
8.259999,8.100407
10.21,7.7530355
34.13,7.2329407
19.67,6.573853
13.18,5.817219
3.88,1.0770922
10.25,3.6995552
5.11,2.9920948
0.0,2.374063
1.43,1.1617924
0.0,1.9911803
0.0,2.6713324
0.0,3.1010556
3.74,3.6981657
3.28,4.840522
5.48,5.9577394
13.599999,6.965657
0.0,2.4569576
0.0,1.1024016
25.210001,8.055092
32.36,9.093081
38.95,9.82837
36.24,10.027143
30.82,9.943483
16.74,9.621481
26.58,9.071789
31.42,8.30448
15.110001,7.3431373
4.35,6.232039
0.0,1.5968058
5.99,4.8128185
4.1699996,3.4997005
0.0,2.793933
0.0,1.8432678
0.0,1.246258
0.0,1.9026035
0.0,2.8036234
5.17,4.0081306
11.56,5.2715187
20.36,6.4943013
23.53,7.584429
0.0,2.3099961
0.0,1.7877575
11.83,8.723137
16.26,9.545214
14.180001,9.9783945
22.25,10.17772
20.75,10.141015
20.11,9.865357
16.269999,9.352064
18.55,8.611365
14.190001,7.6685677
10.91,6.5696015
0.0,1.9224811
12.93,5.547366
12.2699995,4.5048943
6.7900004,3.189214
5.92,2.2273295
0.0,1.5798432
0.0,2.895446
0.0,3.8805375
3.99,4.877467
11.889999,5.9308057
13.1,6.9353395
13.86,7.791528
5.92,2.339844
5.92,1.5381409
32.95,8.161633
24.34,9.322316
28.310001,10.1106825
33.9,10.424319
40.3,10.443241
29.500002,10.201169
22.699999,9.710281
11.2300005,8.984416
13.13,8.04961
17.82,6.953024
5.92,2.2915971
17.09,5.1206603
11.38,4.169385
11.1,3.4561977
4.86,2.5307367
5.92,1.9362267
5.92,2.674136
2.8799999,3.3824997
1.62,4.6504283
8.740001,5.878901
20.949999,7.101278
30.319998,8.192433
4.84,3.2127542
4.84,1.70989
27.269999,8.653708
28.8,9.7508955
40.18,10.593703
29.570002,10.887631
25.93,10.885352
33.65,10.627257
25.78,10.124175
9.4,9.388091
6.56,8.444069
10.55,7.338227
9.39,2.6553726
14.54,5.9050884
11.53,4.5130987
6.13,3.861164
6.13,2.8854482
8.11,2.294826
4.84,2.9184952
4.84,3.7750053
4.3700004,4.9456377
0.0,6.17754
3.66,7.3933144
10.34,8.48882
6.13,2.0655112
6.13,0.6438567
18.449999,7.620636
32.69,8.372094
29.460001,9.223163
16.19,9.495721
25.31,9.501004
36.04,9.245885
24.21,8.74083
12.21,7.999971
14.9800005,7.0525103
7.5799994,5.948259
6.13,1.2557144
0.0,4.6858015
4.02,3.0755544
5.25,2.5016186
6.23,1.500757
1.29,0.9237194
0.0,1.4784005
0.0,2.2579553
0.0,3.3635607
4.29,4.5576
3.1899998,5.7609057
7.0699997,6.8745527
10.58,1.9120681
10.58,0.9241953
30.66,7.4292274
33.32,8.479299
41.61,9.195977
35.530003,9.380601
23.06,9.276395
13.44,8.932083
22.34,8.362273
13.93,7.5797963
3.05,6.6100874
0.0,5.4979897
10.58,0.99009347
1.13,4.05961
2.04,2.8027937
0.0,2.0764923
0.0,1.1519046
5.29,0.5786691
5.83,1.2445982
9.83,2.1583586
8.48,3.3618305
10.95,4.62335
16.35,5.8422
33.52,6.927384
0.0,1.5581496
0.0,0.72953135
33.03,7.5173717
33.2,8.594765
24.960001,9.35542
22.91,9.575317
31.649998,9.507039
26.7,9.194501
24.550001,8.650626
12.74,7.8878374
5.04,6.931962
5.3,5.828818
0.0,1.2971092
2.98,4.421731
0.0,3.1241395
2.66,2.424156
5.92,1.4942762
0.0,0.9278953
0.0,1.58971
0.0,2.489952
0.0,3.6837945
7.63,4.936147
27.72,6.148317
42.53,7.2319236
5.92,2.0032337
10.88,1.2158767
41.56,7.770944
32.98,8.842737
18.13,9.629021
16.83,9.876366
13.75,9.832169
24.18,9.537802
27.44,9.006245
20.16,8.25064
9.57,7.2975826
0.71,6.193872
5.92,1.6345936
4.98,4.7943172
6.22,3.4574869
6.22,2.7793667
6.22,1.8403528
5.92,1.2776363
0.95000005,1.9309843
0.32,2.8158119
12.919999,3.9979553
11.44,5.2398214
22.859999,6.447737
31.199999,7.5325303
6.22,2.4582193
6.22,1.7075795
47.559998,8.022848
51.96,9.094892
43.71,9.904776
49.74,10.179144
60.58,10.158801
47.9,9.882648
34.69,9.363618
25.44,8.615427
20.51,7.665267
14.969999,6.56076
6.22,1.9774475
24.83,5.1589613
17.49,3.789244
11.19,3.1308267
0.75,2.1819313
6.22,1.6212267
6.22,2.2640305
6.22,3.1338735
6.9000006,4.3051457
12.31,5.5381007
29.039999,6.743412
49.89,7.83088
0.0,2.9147944
0.0,2.1902175
41.37,8.275194
27.69,9.351754
26.77,10.182968
26.93,10.483397
17.689999,10.486202
11.679999,10.227948
10.19,9.7213955
19.19,8.9806795
20.13,8.033408
22.82,6.927843
0.0,2.324199
24.99,5.5143585
10.57,4.1182003
6.1099997,3.4768271
