value,prediction
25.21,9.743427
32.1,10.042379
32.1,10.323527
32.1,10.5086775
30.82,10.571428
16.74,10.511728
26.58,10.343793
31.42,10.090323
15.11,9.778894
4.35,9.439091
0.0,8.989027
5.9900002,8.86606
4.1699996,8.7277155
0.0,8.556369
0.0,8.3977995
0.0,8.322014
0.0,8.442825
0.0,8.710435
5.17,9.063205
11.56,9.453124
20.36,9.843816
23.529999,10.20602
0.0,9.901881
0.0,9.798134
11.83,10.142551
16.259998,10.360509
14.179999,10.547193
22.25,10.652999
20.75,10.655706
20.11,10.552822
16.27,10.354905
18.550001,10.081166
14.190001,9.756245
10.910001,9.407413
0.0,8.945348
12.93,9.136561
12.2699995,8.983283
6.79,8.754711
5.9199996,8.536467
0.0,8.407924
0.0,8.942598
0.0,9.391714
3.99,9.647894
11.89,9.762592
13.099999,9.789919
13.86,9.766984
5.9199996,9.092898
5.9199996,8.746274
32.1,8.855017
24.339998,9.222895
28.310001,9.617443
32.1,9.923709
32.1,10.096112
29.5,10.12822
22.7,10.03402
11.2300005,9.838073
13.13,9.570415
17.82,9.262937
5.9199996,8.82351
17.09,8.607237
11.38,8.4859085
11.099999,8.333976
4.8599997,8.195837
5.9199996,8.133285
5.9199996,8.333618
2.8799999,8.543283
1.62,8.870778
8.74,9.256728
20.95,9.653785
30.320002,10.026817
4.84,9.87633
4.84,9.596693
27.27,9.713152
28.8,9.986594
32.1,10.243268
29.570002,10.4082985
25.929998,10.457652
32.1,10.391021
25.779999,10.220838
9.4,9.967573
6.56,9.656813
10.55,9.316666
9.389999,8.846192
14.54,8.728895
11.53,8.589867
6.1299996,8.412919
6.1299996,8.246701
8.11,8.1561985
4.84,8.263431
4.84,8.518001
4.37,8.859348
0.0,9.240975
3.66,9.627453
10.34,9.989974
6.1299996,9.366689
6.1299996,8.7554035
18.449999,8.793186
32.1,9.104422
29.460001,9.427876
16.19,9.653772
25.310001,9.747805
32.1,9.708941
24.21,9.5522
12.21,9.301606
14.9800005,8.986363
7.5800004,8.637895
6.1299996,8.159097
0.0,8.046121
4.02,7.9002333
5.25,7.715012
6.23,7.545545
1.29,7.470308
0.0,7.6065173
0.0,7.8907814
0.0,8.257503
4.29,8.659091
3.19,9.060155
7.07,9.431988
10.580001,10.413099
10.580001,10.394413
30.66,10.562124
32.1,10.790918
32.1,10.977032
32.1,11.071006
23.06,11.056483
13.44,10.935591
22.34,10.721481
13.93,10.434711
3.05,10.100513
0.0,9.746273
10.580001,9.299476
1.13,9.166954
2.04,9.02406
0.0,8.852832
0.0,8.696945
5.2900004,8.627443
5.83,8.753981
9.83,9.026589
8.4800005,9.382999
10.95,9.774583
16.349998,10.164627
32.1,10.523798
0.0,10.391136
0.0,10.169501
32.1,10.274206
32.1,10.517001
24.96,10.743676
22.91,10.881512
31.65,10.905708
26.7,10.816146
24.55,10.62614
12.74,10.357198
5.04,10.035626
5.3,9.689802
0.0,9.240843
2.98,9.114915
0.0,8.9756565
2.66,8.805088
5.9199996,8.648192
0.0,8.574431
0.0,8.697664
0.0,8.967738
0.0,9.3225
7.63,9.713627
27.72,10.104593
32.1,10.466099
5.9199996,10.406643
10.88,10.166643
32.1,10.259687
32.1,10.495268
18.130001,10.71673
16.83,10.851189
13.75,10.873833
