value,prediction
4.93,-0.7820479
17.529999,6.293861
12.33,7.469675
14.4800005,8.58727
19.65,8.057798
25.460001,8.502427
8.259999,8.299777
10.21,7.795951
34.13,7.0699296
19.67,6.164644
13.18,5.1270194
3.88,-0.76863444
10.25,2.338137
5.11,1.2705722
0.0,1.086487
1.43,-0.48373744
0.0,-0.16496284
0.0,0.6721755
0.0,1.2078308
3.74,2.1824684
3.28,3.6825373
5.48,5.2336826
13.599999,6.711464
0.0,-0.1781586
0.0,-0.98434514
25.210001,7.3149543
32.36,9.349941
38.95,10.643655
36.24,11.247779
30.82,11.343093
16.74,11.055016
26.58,10.441216
31.42,9.517232
15.110001,8.286893
4.35,6.773287
0.0,0.37386444
5.99,3.7545831
4.1699996,2.5188065
0.0,1.3260624
0.0,0.21747716
0.0,-0.6001555
0.0,-0.056411814
0.0,0.94038415
5.17,2.306686
11.56,3.8970492
20.36,5.5804167
23.53,7.2243705
0.0,-0.43475524
0.0,-0.38915765
11.83,8.879316
16.26,10.361137
14.180001,11.302079
22.25,11.783086
20.75,11.8706
20.11,11.616163
16.269999,11.044233
18.55,10.159532
14.190001,8.960199
10.91,7.4593124
0.0,0.8975537
12.93,4.942187
12.2699995,3.3451533
6.7900004,1.8748362
5.92,0.64871603
0.0,-0.23338237
0.0,1.1591519
0.0,2.3873951
3.99,3.7223272
11.889999,5.150105
13.1,6.559127
13.86,7.8293085
5.92,-0.1935823
5.92,-0.5141806
32.95,8.062977
24.34,10.355415
28.310001,11.765875
33.9,12.420292
40.3,12.549451
29.500002,12.305003
22.699999,11.745855
11.2300005,10.882276
13.13,9.708444
17.82,8.226203
5.92,1.5221186
17.09,4.1156673
11.38,3.1843967
11.1,2.0843318
4.86,0.9827335
5.92,0.1367272
5.92,0.43018258
2.8799999,1.509657
1.62,2.9765847
8.740001,4.643035
20.949999,6.405071
30.319998,8.133796
4.84,0.2125379
4.84,-0.4429743
27.269999,8.439097
28.8,10.713779
40.18,12.226574
29.570002,12.961653
25.93,13.146744
33.65,12.942874
25.78,12.418024
9.4,11.588176
6.56,10.449427
10.55,8.998828
9.39,2.204044
14.54,5.5334096
11.53,4.16841
6.13,2.817959
6.13,1.546413
8.11,0.5883333
4.84,1.0568976
4.84,2.0482724
4.3700004,3.4512181
0.0,5.1076255
3.66,6.882718
10.34,8.641118
6.13,-0.86050314
6.13,-1.6876446
18.449999,6.9275174
32.69,8.735164
29.460001,10.0897
16.19,10.869557
25.31,11.160605
36.04,11.028072
24.21,10.519661
12.21,9.655396
14.9800005,8.442166
7.5799994,6.9037504
6.13,0.19137579
0.0,3.718859
4.02,2.3786025
5.25,1.176041
6.23,0.030240038
1.29,-0.8601685
0.0,-0.41897726
0.0,0.4983211
0.0,1.8053901
4.29,3.347302
3.1899998,4.9935093
7.0699997,6.624718
10.58,-0.32077655
10.58,-1.1309421
30.66,6.81629
33.32,8.768239
41.61,9.978915
35.530003,10.50334
23.06,10.524121
13.44,10.168642
22.34,9.495361
13.93,8.523397
3.05,7.266143
0.0,5.763774
10.58,-0.31059456
1.13,3.0598464
2.04,1.8787988
0.0,0.74613905
0.0,-0.2967158
5.29,-1.0385863
5.83,-0.44061524
9.83,0.5799441
8.48,1.951155
10.95,3.5331247
16.35,5.196602
33.52,6.804917
0.0,-0.46998408
0.0,-1.1952896
33.03,7.0736575
33.2,9.1280155
24.960001,10.401734
22.91,10.969563
31.649998,11.027158
26.7,10.704687
24.550001,10.060494
12.74,9.1115465
5.04,7.865775
5.3,6.3536563
0.0,0.09561708
2.98,3.4917364
0.0,2.2721791
2.66,1.104705
5.92,0.025447065
0.0,-0.743398
0.0,-0.1567543
0.0,0.8674446
0.0,2.2528076
7.63,3.8559394
27.72,5.5458765
42.53,7.1852546
5.92,-0.11154638
10.88,-0.8840703
41.56,7.5150967
32.98,9.608453
18.13,10.913146
16.83,11.501227
13.75,11.579578
24.18,11.2811165
27.44,10.662393
20.16,9.737276
9.57,8.508108
0.71,6.994773
5.92,0.5616021
4.98,3.9683588
6.22,2.7082455
6.22,1.5010499
6.22,0.3809598
5.92,-0.41971332
0.95000005,0.15219359
0.32,1.1788836
12.919999,2.578146
11.44,4.202966
