Label,Total_Energy_kWh,Holiday,Weekday,Year,Month,Day,sin_Hour,cos_Hour
2019-12-03 12:00:00,0.015483342701694545,False,1,2019,12,3,1.2246467991473532e-16,-1.0
2019-12-03 13:00:00,0.012079721518941017,False,1,2019,12,3,-0.2588190451025208,-0.9659258262890683
2019-12-03 14:00:00,0.009615792580462006,False,1,2019,12,3,-0.4999999999999997,-0.8660254037844388
2019-12-03 15:00:00,0.007101887800895004,False,1,2019,12,3,-0.7071067811865471,-0.7071067811865479
2019-12-03 16:00:00,0.0036080358878036794,False,1,2019,12,3,-0.8660254037844385,-0.5000000000000004
2019-12-03 17:00:00,0.007806457087394523,False,1,2019,12,3,-0.9659258262890683,-0.25881904510252063
2019-12-03 18:00:00,0.007954510698161506,False,1,2019,12,3,-1.0,-1.8369701987210297e-16
2019-12-03 19:00:00,0.009682798480790384,False,1,2019,12,3,-0.9659258262890684,0.2588190451025203
2019-12-03 20:00:00,0.00802457188197272,False,1,2019,12,3,-0.8660254037844386,0.5000000000000001
2019-12-03 21:00:00,0.0031547696595985645,False,1,2019,12,3,-0.7071067811865477,0.7071067811865474
2019-12-03 22:00:00,0.001611278395585379,False,1,2019,12,3,-0.5000000000000004,0.8660254037844384
2019-12-03 23:00:00,0.0002739173272495145,False,1,2019,12,3,-0.25881904510252157,0.9659258262890681
2019-12-04 00:00:00,0.0,False,2,2019,12,4,0.0,1.0
2019-12-04 01:00:00,0.0,False,2,2019,12,4,0.25881904510252074,0.9659258262890683
2019-12-04 02:00:00,0.0,False,2,2019,12,4,0.49999999999999994,0.8660254037844387
2019-12-04 03:00:00,0.0,False,2,2019,12,4,0.7071067811865476,0.7071067811865476
2019-12-04 04:00:00,0.0,False,2,2019,12,4,0.8660254037844386,0.5000000000000001
2019-12-04 05:00:00,0.0006006555840939045,False,2,2019,12,4,0.9659258262890683,0.25881904510252074
2019-12-04 06:00:00,0.002123633371377061,False,2,2019,12,4,1.0,6.123233995736766e-17
2019-12-04 07:00:00,0.0028555833511559182,False,2,2019,12,4,0.9659258262890683,-0.25881904510252063
